"filename", "language", "JSON with Comments", "TypeScript", "TypeScript React", "JSON", "JavaScript", "Properties", "XML", "CSS", "Markdown", "HTML", "Ignore", "comment", "blank", "total"
"g:\jira项目\jira\.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"g:\jira项目\jira\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"g:\jira项目\jira\.prettierrc.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 22, 49
"g:\jira项目\jira\commitlint.config.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\package.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
"g:\jira项目\jira\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"g:\jira项目\jira\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 25, 4, 68
"g:\jira项目\jira\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"g:\jira项目\jira\public\mockServiceWorker.js", "JavaScript", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 43, 53, 304
"g:\jira项目\jira\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 3, 15
"g:\jira项目\jira\src\App.test.tsx", "TypeScript React", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\jira项目\jira\src\App.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"g:\jira项目\jira\src\__tests__\db.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"g:\jira项目\jira\src\__tests__\http.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 36
"g:\jira项目\jira\src\__tests__\mark.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"g:\jira项目\jira\src\__tests__\project-list.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"g:\jira项目\jira\src\__tests__\use-async.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"g:\jira项目\jira\src\assets\bug.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"g:\jira项目\jira\src\assets\left.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\jira项目\jira\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"g:\jira项目\jira\src\assets\right.svg", "XML", 0, 0, 0, 0, 0, 0, 876, 0, 0, 0, 0, 1, 123, 1000
"g:\jira项目\jira\src\assets\software-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\src\assets\task.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"g:\jira项目\jira\src\auth-provider.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 44
"g:\jira项目\jira\src\authenticated-app.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 78, 1, 112
"g:\jira项目\jira\src\components\drag-and-drop.tsx", "TypeScript React", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"g:\jira项目\jira\src\components\error-boundary.tsx", "TypeScript React", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"g:\jira项目\jira\src\components\id-select.tsx", "TypeScript React", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 44
"g:\jira项目\jira\src\components\lib.tsx", "TypeScript React", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 64
"g:\jira项目\jira\src\components\mark.tsx", "TypeScript React", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"g:\jira项目\jira\src\components\pin.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"g:\jira项目\jira\src\components\profiler.tsx", "TypeScript React", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"g:\jira项目\jira\src\components\project-popover.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"g:\jira项目\jira\src\components\task-type-select.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\jira项目\jira\src\components\test-closure.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 51
"g:\jira项目\jira\src\components\user-popover.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"g:\jira项目\jira\src\context\auth-context.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"g:\jira项目\jira\src\context\index.tsx", "TypeScript React", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"g:\jira项目\jira\src\index.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"g:\jira项目\jira\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"g:\jira项目\jira\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"g:\jira项目\jira\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\jira项目\jira\src\screens\epic\create-epic.tsx", "TypeScript React", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"g:\jira项目\jira\src\screens\epic\index.tsx", "TypeScript React", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"g:\jira项目\jira\src\screens\epic\util.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"g:\jira项目\jira\src\screens\kanban\create-kanban.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"g:\jira项目\jira\src\screens\kanban\create-task.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"g:\jira项目\jira\src\screens\kanban\index.tsx", "TypeScript React", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 124
"g:\jira项目\jira\src\screens\kanban\kanban-column.tsx", "TypeScript React", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"g:\jira项目\jira\src\screens\kanban\search-panel.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"g:\jira项目\jira\src\screens\kanban\task-modal.tsx", "TypeScript React", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"g:\jira项目\jira\src\screens\kanban\util.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"g:\jira项目\jira\src\screens\project-list\index.tsx", "TypeScript React", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 58
"g:\jira项目\jira\src\screens\project-list\list.tsx", "TypeScript React", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 99
"g:\jira项目\jira\src\screens\project-list\project-modal.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"g:\jira项目\jira\src\screens\project-list\search-panel.tsx", "TypeScript React", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 54
"g:\jira项目\jira\src\screens\project-list\util.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"g:\jira项目\jira\src\screens\project\index.tsx", "TypeScript React", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 55
"g:\jira项目\jira\src\setupTests.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 17
"g:\jira项目\jira\src\types\epic.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 10
"g:\jira项目\jira\src\types\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\jira项目\jira\src\types\kanban.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"g:\jira项目\jira\src\types\project.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\jira项目\jira\src\types\task-types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"g:\jira项目\jira\src\types\task.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 13
"g:\jira项目\jira\src\unauthenticated-app\index.tsx", "TypeScript React", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 90
"g:\jira项目\jira\src\unauthenticated-app\login.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 55
"g:\jira项目\jira\src\unauthenticated-app\register.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"g:\jira项目\jira\src\utils\epic.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"g:\jira项目\jira\src\utils\http.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 97
"g:\jira项目\jira\src\utils\index.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11, 121
"g:\jira项目\jira\src\utils\kanban.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 55
"g:\jira项目\jira\src\utils\project.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"g:\jira项目\jira\src\utils\reorder.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 57
"g:\jira项目\jira\src\utils\task-type.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"g:\jira项目\jira\src\utils\task.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"g:\jira项目\jira\src\utils\url.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 27
"g:\jira项目\jira\src\utils\use-async.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 89
"g:\jira项目\jira\src\utils\use-optimistic-options.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"g:\jira项目\jira\src\utils\use-undo.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"g:\jira项目\jira\src\utils\user-select.tsx", "TypeScript React", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"g:\jira项目\jira\src\utils\user.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"g:\jira项目\jira\src\wdyr.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"g:\jira项目\jira\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 929, 1484, 166, 216, 1, 925, 6, 27, 76, 2, 280, 436, 4575